Customer_ID,Customer_Age,Customer_Type,Product_Name,Product_Category,Review_Text,Rating,Review_Date,Verified_Purchase,Sentiment
CUST00024,50,New,Cookies,Grocery,Amazing quality and value for money.,5.0,2026-10-21,Yes,Positive
CUST00025,58,New,Self Help Book,Books,The product is okay and works as expected.,3.0,2025-12-15,Yes,Neutral
CUST00026,20,Returning,Coffee,Grocery,The item arrived late and the package was damaged. Really!!,1.0,2026-07-20,Yes,Negative
CUST00027,19,Returning,Mixer Grinder,Home & Kitchen,AVERAGE QUALITY. IT IS FINE FOR THE PRICE.,4.0,2025-04-14,Yes,Neutral
CUST00028,24,New,Gym Gloves,Sports,"It works properly, but nothing special.",4.0,2026-11-16,Yes,Neutral
CUST00029,19,Loyal,Moisturizer,Beauty,"The product is comfortable, useful, and well made.",5.0,2025-02-20,Yes,Positive
CUST00030,32,Returning,Jacket,Clothing,Good product and the delivery was quick.,5.0,2026-03-20,Yes,Positive
CUST00031,64,Loyal,Moisturizer,Beauty,Not worth the money. The quality is very poor. Order 1004.,2.0,2026-10-18,No,Negative
CUST00032,54,Returning,Coffee,Grocery,"The product is comfortable, useful, and well made. Order 9311.",5.0,2025-05-07,Yes,Positive
CUST00033,42,New,Novel,Books,I really liked this product. It works perfectly.,5.0,2025-09-29,Yes,Positive
CUST00034,39,New,Mixer Grinder,Home & Kitchen,"It works properly, but nothing special.",3.0,2025-08-08,Yes,Neutral
CUST00035,38,Loyal,Sneakers,Clothing,"THE PRODUCT IS COMFORTABLE, USEFUL, AND WELL MADE. REALLY!!",5.0,2025-10-16,Yes,Positive
CUST00036,36,Returning,Cookies,Grocery,AVERAGE QUALITY. IT IS FINE FOR THE PRICE.,4.0,2025-11-21,Yes,Neutral
CUST00037,50,New,T-Shirt,Clothing,Average quality. It is fine for the price. Order 7303.,3.0,2026-11-22,No,Neutral
CUST00038,48,Returning,Running Shoes,Sports,The product is okay and works as expected.,4.0,2025-09-10,Yes,Neutral
CUST00039,58,Loyal,Self Help Book,Books,The product is okay and works as expected.,4.0,2026-05-16,Yes,Neutral
CUST00040,41,Loyal,Yoga Mat,Sports,Not worth the money. The quality is very poor.,1.0,2025-04-09,Yes,Negative
CUST00041,30,Loyal,Face Wash,Beauty,Great experience. The item arrived on time.,4.0,2025-09-30,Yes,Positive
CUST00042,58,Loyal,Hair Dryer,Beauty,Excellent product! Very good quality and fast delivery.,4.0,2025-09-22,Yes,Positive
CUST00043,42,Loyal,Mixer Grinder,Home & Kitchen,Not worth the money. The quality is very poor.,2.0,2026-04-29,No,Negative
CUST00044,52,Loyal,T-Shirt,Clothing,"It works properly, but nothing special.",3.0,2025-08-23,Yes,Neutral
CUST00045,30,Returning,Coffee,Grocery,VERY POOR QUALITY. THE PRODUCT STOPPED WORKING QUICKLY.,2.0,2026-09-26,Yes,Negative
CUST00046,24,New,Face Wash,Beauty,"The product is comfortable, useful, and well made.",4.0,2025-05-12,Yes,Positive
CUST00047,56,Returning,Jacket,Clothing,The item arrived on time and was as described.,3.0,2025-06-22,Yes,Neutral
CUST00048,20,New,Cookies,Grocery,I really liked this product. It works perfectly.,4.0,2025-07-09,Yes,Positive
CUST00049,49,New,Face Wash,Beauty,Excellent product! Very good quality and fast delivery.,4.0,2025-05-29,Yes,Positive
CUST00050,20,Loyal,Coffee,Grocery,Not worth the money. The quality is very poor. Order 7190.,1.0,2025-01-12,No,Negative
CUST00051,43,Returning,Hair Dryer,Beauty,"The product is comfortable, useful, and well made.",5.0,2025-06-27,Yes,Positive
CUST00052,37,New,Power Bank,Electronics,Very happy with my purchase. Highly recommended!,4.0,2026-07-12,Yes,Positive
CUST00053,62,New,Programming Book,Books,The item arrived late and the package was damaged.,2.0,2026-01-09,No,Negative
CUST00054,30,New,Water Bottle,Home & Kitchen,Very poor quality. The product stopped working quickly.,1.0,2025-04-15,Yes,Negative
CUST00055,40,New,Novel,Books,Great experience. The item arrived on time.,4.0,2026-11-08,Yes,Positive
CUST00056,18,New,Gym Gloves,Sports,Good product and the delivery was quick. Really!!,5.0,2025-02-03,Yes,Positive
CUST00057,18,Returning,Sneakers,Clothing,I really liked this product. It works perfectly.,5.0,2026-01-24,Yes,Positive
CUST00058,28,Loyal,Programming Book,Books,The product is okay and works as expected. Order 4374.,4.0,2026-02-26,Yes,Neutral
CUST00059,55,New,Cookies,Grocery,I am disappointed with this purchase.,2.0,2025-12-01,Yes,Negative
CUST00060,34,New,Smart Watch,Electronics,The item arrived on time and was as described.,4.0,2025-02-22,Yes,Neutral
CUST00061,33,New,Dry Fruits,Grocery,Amazing quality and value for money. Order 2906.,4.0,2025-07-14,Yes,Positive
CUST00062,39,New,Jeans,Clothing,The product does not work as expected. Order 8570.,1.0,2026-05-28,Yes,Negative
CUST00063,64,New,Smart Watch,Electronics,"The product is comfortable, useful, and well made.",5.0,2025-08-27,Yes,Positive
CUST00064,43,Loyal,Cookbook,Books,Good product and the delivery was quick. Order 2276.,5.0,2025-08-04,Yes,Positive
CUST00065,64,New,Cookbook,Books,Amazing quality and value for money.,4.0,2026-05-21,Yes,Positive
CUST00066,39,Returning,Smart Watch,Electronics,Excellent product! Very good quality and fast delivery. Really!!,4.0,2026-06-21,No,Positive
CUST00067,39,Returning,Moisturizer,Beauty,"Product is decent, but there is room for improvement.",3.0,2026-01-04,Yes,Neutral
CUST00068,23,New,Mixer Grinder,Home & Kitchen,Good product and the delivery was quick.,4.0,2025-10-16,Yes,Positive
CUST00069,20,Loyal,Dry Fruits,Grocery,"The product is comfortable, useful, and well made. Order 7986. Really!!",4.0,2025-02-09,Yes,Positive
CUST00070,47,Returning,Programming Book,Books,Bad experience. I would not recommend this product.,2.0,2026-07-28,No,Negative
CUST00071,36,New,Self Help Book,Books,Average quality. It is fine for the price.,4.0,2025-04-23,Yes,Neutral
CUST00072,60,Loyal,Face Wash,Beauty,The quality is acceptable for everyday use.,3.0,2026-11-21,Yes,Neutral
CUST00073,54,New,Wireless Earbuds,Electronics,I really liked this product. It works perfectly.,4.0,2026-07-04,Yes,Positive
CUST00074,28,New,Running Shoes,Sports,Excellent product! Very good quality and fast delivery.,5.0,2026-08-11,Yes,Positive
CUST00075,47,Loyal,Novel,Books,Bad experience. I would not recommend this product. Order 6468. Really!!,2.0,2025-06-14,No,Negative
CUST00076,25,Loyal,Sneakers,Clothing,Average quality. It is fine for the price.,4.0,2026-06-10,No,Neutral
CUST00077,19,Returning,Wireless Earbuds,Electronics,The product is okay and works as expected.,3.0,2026-09-08,Yes,Neutral
CUST00078,64,New,Face Wash,Beauty,"The product is comfortable, useful, and well made.",4.0,2026-04-23,No,Positive
CUST00079,21,Returning,Smart Watch,Electronics,The quality is acceptable for everyday use.,4.0,2026-06-06,Yes,Neutral
CUST00080,32,New,Hair Dryer,Beauty,The quality is acceptable for everyday use. Really!!,4.0,2025-09-18,Yes,Neutral
CUST00081,60,Loyal,Face Wash,Beauty,Good product and the delivery was quick.,5.0,2026-10-22,Yes,Positive
CUST00082,30,Returning,Shampoo,Beauty,Bad experience. I would not recommend this product. Order 7166.,2.0,2026-09-15,Yes,Negative
CUST00083,45,Loyal,Green Tea,Grocery,"Product is decent, but there is room for improvement.",4.0,2025-02-20,Yes,Neutral
CUST00084,53,Returning,Jacket,Clothing,Bad experience. I would not recommend this product. Really!!,2.0,2025-01-01,No,Negative
CUST00085,43,New,Moisturizer,Beauty,Great experience. The item arrived on time. Really!!,4.0,2026-07-29,Yes,Positive
CUST00086,60,Loyal,Power Bank,Electronics,Bad experience. I would not recommend this product.,2.0,2025-06-28,Yes,Negative
CUST00087,39,Returning,Cookies,Grocery,"Product is decent, but there is room for improvement.",3.0,2026-04-14,Yes,Neutral
CUST00088,18,New,Smart Watch,Electronics,,1.0,2025-08-03,Yes,Negative
CUST00089,18,Returning,Cookware Set,Home & Kitchen,The quality is acceptable for everyday use. Order 5524.,4.0,2025-06-24,Yes,Neutral
CUST00090,46,Loyal,Bluetooth Speaker,Electronics,Excellent product! Very good quality and fast delivery.,5.0,2026-10-05,Yes,Positive
CUST00091,46,New,T-Shirt,Clothing,"The product is comfortable, useful, and well made.",4.0,2026-03-19,Yes,Positive
CUST00092,51,Loyal,Cookies,Grocery,The product is okay and works as expected. Really!!,4.0,2025-03-29,Yes,Neutral
CUST00093,65,Returning,Programming Book,Books,THE ITEM ARRIVED LATE AND THE PACKAGE WAS DAMAGED.,1.0,2025-11-26,Yes,Negative
CUST00094,37,Loyal,Green Tea,Grocery,Amazing quality and value for money. Order 2308.,4.0,2026-01-21,Yes,Positive
CUST00095,61,Loyal,Sneakers,Clothing,Very happy with my purchase. Highly recommended!,,2026-05-21,Yes,Positive
CUST00096,34,Returning,Wireless Earbuds,Electronics,I really liked this product. It works perfectly.,5.0,2026-07-06,Yes,Positive
CUST00097,40,New,Cricket Bat,Sports,Excellent product! Very good quality and fast delivery. Order 3541.,5.0,2025-05-26,Yes,Positive
CUST00098,40,New,Jeans,Clothing,Very poor quality. The product stopped working quickly.,2.0,2025-12-08,Yes,Negative
CUST00099,27,New,Yoga Mat,Sports,Bad experience. I would not recommend this product.,1.0,2026-04-21,Yes,Negative
CUST00100,46,New,Cookware Set,Home & Kitchen,I REALLY LIKED THIS PRODUCT. IT WORKS PERFECTLY. ORDER 2386. REALLY!!,5.0,2025-10-23,Yes,Positive
CUST00101,39,New,Cookies,Grocery,The item arrived late and the package was damaged.,2.0,2025-10-16,Yes,Negative
CUST00102,51,New,Running Shoes,Sports,Amazing quality and value for money. Really!!,4.0,2026-03-26,Yes,Positive
CUST00103,52,Loyal,Smart Watch,Electronics,Excellent product! Very good quality and fast delivery.,4.0,2025-08-17,Yes,Positive
CUST00104,34,Returning,Mixer Grinder,Home & Kitchen,BAD EXPERIENCE. I WOULD NOT RECOMMEND THIS PRODUCT.,1.0,2026-05-12,Yes,Negative
CUST00105,23,New,Cookbook,Books,Amazing quality and value for money.,5.0,2025-03-30,Yes,Positive
CUST00106,40,Returning,Coffee,Grocery,The product is okay and works as expected. Really!!,3.0,2025-03-27,No,Neutral
CUST00107,46,Returning,Cookware Set,Home & Kitchen,GOOD PRODUCT AND THE DELIVERY WAS QUICK. REALLY!!,4.0,2026-01-07,No,Positive
CUST00108,62,Returning,Moisturizer,Beauty,I really liked this product. It works perfectly.,5.0,2025-06-20,Yes,Positive
CUST00109,30,Returning,Novel,Books,"Product is decent, but there is room for improvement.",3.0,2025-01-16,Yes,Neutral
CUST00110,35,Loyal,Cricket Bat,Sports,I AM DISAPPOINTED WITH THIS PURCHASE. ORDER 4241.,1.0,2025-02-08,Yes,Negative
CUST00111,27,Returning,Face Wash,Beauty,Excellent product! Very good quality and fast delivery.,4.0,2025-12-25,Yes,Positive
CUST00112,54,New,Sneakers,Clothing,The product is okay and works as expected. Order 2165.,4.0,2026-12-06,No,Neutral
CUST00113,54,Loyal,Sneakers,Clothing,Great experience. The item arrived on time.,4.0,2026-12-11,No,Positive
CUST00114,25,New,Moisturizer,Beauty,The item arrived late and the package was damaged.,1.0,2025-11-06,Yes,Negative
CUST00115,23,New,Mixer Grinder,Home & Kitchen,I really liked this product. It works perfectly. Order 1824.,5.0,2025-02-23,No,Positive
CUST00116,35,Returning,Mixer Grinder,Home & Kitchen,The item arrived late and the package was damaged.,2.0,2025-08-04,No,Negative
CUST00117,20,Loyal,Power Bank,Electronics,GOOD PRODUCT AND THE DELIVERY WAS QUICK. ORDER 5675.,5.0,2026-06-25,No,Positive
CUST00118,22,Returning,Cookbook,Books,Not worth the money. The quality is very poor. Order 1954.,2.0,2026-03-30,No,Negative
CUST00119,20,Returning,Gym Gloves,Sports,Very happy with my purchase. Highly recommended! Order 6233.,4.0,2025-10-16,No,Positive
CUST00120,42,New,Water Bottle,Home & Kitchen,"Product is decent, but there is room for improvement.",3.0,2025-12-22,Yes,Neutral
CUST00121,27,Loyal,Coffee,Grocery,"IT WORKS PROPERLY, BUT NOTHING SPECIAL.",4.0,2026-11-01,No,Neutral
CUST00122,44,New,Yoga Mat,Sports,I REALLY LIKED THIS PRODUCT. IT WORKS PERFECTLY.,5.0,2025-01-17,Yes,Positive
CUST00123,49,Returning,Jacket,Clothing,Good product and the delivery was quick. Really!!,4.0,2026-02-16,Yes,Positive
CUST00124,34,Returning,Face Wash,Beauty,The product does not work as expected. Really!!,1.0,2026-12-06,Yes,Negative
CUST00125,52,New,Hair Dryer,Beauty,I really liked this product. It works perfectly.,4.0,2025-01-07,Yes,Positive
CUST00126,21,New,Jacket,Clothing,The item arrived late and the package was damaged. Really!!,1.0,2026-02-01,No,Negative
CUST00127,39,Loyal,Programming Book,Books,GOOD PRODUCT AND THE DELIVERY WAS QUICK.,5.0,2026-12-08,No,Positive
CUST00128,36,New,Face Wash,Beauty,Very happy with my purchase. Highly recommended!,5.0,2026-01-22,Yes,Positive
CUST00129,32,Loyal,Hair Dryer,Beauty,"The product is comfortable, useful, and well made. Order 2980.",5.0,2025-03-01,Yes,Positive
CUST00130,61,New,Coffee Maker,Home & Kitchen,The product does not work as expected. Order 2050.,1.0,2026-01-13,Yes,Negative
CUST00131,39,Returning,Wireless Earbuds,Electronics,The product is okay and works as expected. Order 2875.,4.0,2025-04-27,Yes,Neutral
CUST00132,55,Loyal,Coffee,Grocery,Good product and the delivery was quick. Order 9465.,4.0,2026-12-30,No,Positive
CUST00133,49,Loyal,Power Bank,Electronics,The item arrived on time and was as described. Really!!,4.0,2025-11-06,Yes,Neutral
CUST00134,58,New,Smart Watch,Electronics,AVERAGE QUALITY. IT IS FINE FOR THE PRICE.,3.0,2026-08-12,Yes,Neutral
CUST00135,59,Loyal,Cookies,Grocery,I really liked this product. It works perfectly.,5.0,2025-11-01,No,Positive
CUST00136,29,Returning,Power Bank,Electronics,Amazing quality and value for money. Order 7917.,5.0,2025-11-14,No,Positive
CUST00137,20,Loyal,T-Shirt,Clothing,The item arrived on time and was as described.,3.0,2026-12-01,Yes,Neutral
CUST00138,36,Loyal,Water Bottle,Home & Kitchen,"The product is comfortable, useful, and well made.",5.0,2025-12-22,Yes,Positive
CUST00139,39,New,Sneakers,Clothing,The product does not work as expected.,1.0,2025-11-08,No,Negative
CUST00140,24,New,Green Tea,Grocery,Average quality. It is fine for the price.,3.0,2026-12-26,Yes,Neutral
CUST00141,49,New,Hair Dryer,Beauty,"Product is decent, but there is room for improvement.",4.0,2025-09-07,Yes,Neutral
CUST00142,29,Loyal,Mixer Grinder,Home & Kitchen,I really liked this product. It works perfectly.,4.0,2026-06-14,Yes,Positive
CUST00143,31,Returning,Jeans,Clothing,The item arrived on time and was as described.,4.0,2026-01-10,Yes,Neutral
CUST00144,56,Returning,Face Wash,Beauty,Excellent product! Very good quality and fast delivery. Order 2646.,5.0,2025-01-28,Yes,Positive
CUST00145,28,Returning,Dry Fruits,Grocery,The product is okay and works as expected. Really!!,3.0,2026-09-22,Yes,Neutral
CUST00146,18,New,Coffee Maker,Home & Kitchen,I really liked this product. It works perfectly. Really!!,5.0,2025-10-11,Yes,Positive
CUST00147,32,Returning,Hair Dryer,Beauty,"It works properly, but nothing special.",3.0,2025-09-08,Yes,Neutral
CUST00148,22,New,Novel,Books,I REALLY LIKED THIS PRODUCT. IT WORKS PERFECTLY. ORDER 1281. REALLY!!,4.0,2026-11-22,Yes,Positive
CUST00149,46,New,Bluetooth Speaker,Electronics,GOOD PRODUCT AND THE DELIVERY WAS QUICK.,5.0,2025-08-11,Yes,Positive
CUST00150,33,Returning,Running Shoes,Sports,GREAT EXPERIENCE. THE ITEM ARRIVED ON TIME. REALLY!!,5.0,2026-01-10,Yes,Positive
CUST00151,51,New,Programming Book,Books,Great experience. The item arrived on time.,4.0,2025-04-29,No,Positive
CUST00152,25,New,Shampoo,Beauty,Average quality. It is fine for the price. Order 8705.,3.0,2025-01-01,Yes,Neutral
CUST00153,23,Loyal,T-Shirt,Clothing,"It works properly, but nothing special.",4.0,2025-06-10,Yes,Neutral
CUST00154,63,Returning,Cricket Bat,Sports,Very poor quality. The product stopped working quickly. Order 4230.,2.0,2026-03-30,No,Negative
CUST00155,38,Loyal,Coffee,Grocery,The item arrived late and the package was damaged.,1.0,2025-03-17,Yes,Negative
CUST00156,61,Returning,Smart Watch,Electronics,The item arrived on time and was as described.,3.0,2025-09-24,Yes,Neutral
CUST00157,45,New,T-Shirt,Clothing,Average quality. It is fine for the price.,4.0,2025-06-03,Yes,Neutral
CUST00158,60,New,T-Shirt,Clothing,Good product and the delivery was quick. Order 9234.,5.0,2026-02-11,Yes,Positive
CUST00159,38,New,Green Tea,Grocery,The product does not work as expected.,2.0,2025-11-30,Yes,Negative
CUST00160,47,Returning,Jeans,Clothing,Very happy with my purchase. Highly recommended!,5.0,2026-08-12,Yes,Positive
CUST00161,59,Returning,Bluetooth Speaker,Electronics,Amazing quality and value for money. Order 8052. Really!!,5.0,2026-01-20,Yes,Positive
CUST00162,26,Returning,Novel,Books,Great experience. The item arrived on time.,5.0,2025-01-10,Yes,Positive
CUST00163,41,Loyal,Gym Gloves,Sports,I really liked this product. It works perfectly.,5.0,2025-03-01,Yes,Positive
CUST00164,52,Returning,Coffee,Grocery,The item arrived late and the package was damaged.,1.0,2026-09-23,Yes,Negative
CUST00165,31,New,T-Shirt,Clothing,Good product and the delivery was quick.,4.0,2026-03-17,Yes,Positive
CUST00166,58,New,Cricket Bat,Sports,The item arrived late and the package was damaged.,1.0,2025-10-07,Yes,Negative
CUST00167,54,New,Hair Dryer,Beauty,I really liked this product. It works perfectly.,5.0,2025-03-14,Yes,Positive
CUST00168,61,Loyal,Hair Dryer,Beauty,Excellent product! Very good quality and fast delivery.,4.0,2025-05-29,Yes,Positive
CUST00169,40,Returning,Cookbook,Books,The item arrived on time and was as described.,4.0,2025-07-28,No,Neutral
CUST00170,33,New,Self Help Book,Books,Very happy with my purchase. Highly recommended! Order 4374.,5.0,2026-10-10,No,Positive
CUST00171,47,New,Hair Dryer,Beauty,The product does not work as expected. Order 7770. Really!!,1.0,2026-02-10,Yes,Negative
CUST00172,53,New,Cricket Bat,Sports,The product is okay and works as expected.,4.0,2025-04-24,Yes,Neutral
CUST00173,40,Returning,Hair Dryer,Beauty,I really liked this product. It works perfectly.,5.0,2026-04-11,Yes,Positive
CUST00174,59,Returning,Shampoo,Beauty,The item arrived late and the package was damaged.,1.0,2026-03-05,Yes,Negative
CUST00175,32,New,Programming Book,Books,Bad experience. I would not recommend this product. Really!!,1.0,2026-08-01,Yes,Negative
CUST00176,50,Loyal,Smart Watch,Electronics,"The product is comfortable, useful, and well made.",4.0,2025-04-20,No,Positive
CUST00177,25,New,Running Shoes,Sports,NOT WORTH THE MONEY. THE QUALITY IS VERY POOR.,2.0,2026-06-21,Yes,Negative
CUST00178,35,New,Self Help Book,Books,Very happy with my purchase. Highly recommended!,5.0,2026-03-23,Yes,Positive
CUST00179,51,Returning,Yoga Mat,Sports,"The product is comfortable, useful, and well made.",4.0,2026-10-04,Yes,Positive
CUST00180,63,Loyal,Moisturizer,Beauty,THE PRODUCT IS OKAY AND WORKS AS EXPECTED. REALLY!!,4.0,2025-03-21,Yes,Neutral
CUST00181,53,Returning,Moisturizer,Beauty,"Product is decent, but there is room for improvement.",3.0,2026-11-21,Yes,Neutral
CUST00182,24,New,Novel,Books,Bad experience. I would not recommend this product.,2.0,2026-08-21,No,Negative
CUST00183,56,New,T-Shirt,Clothing,"The product is comfortable, useful, and well made. Really!!",4.0,2025-01-13,Yes,Positive
CUST00184,28,Loyal,Wireless Earbuds,Electronics,Good product and the delivery was quick. Order 5268. Really!!,5.0,2025-11-04,Yes,Positive
CUST00185,46,Returning,Smart Watch,Electronics,"The product is comfortable, useful, and well made. Order 5719.",4.0,2025-01-21,No,Positive
CUST00186,27,Returning,Running Shoes,Sports,Excellent product! Very good quality and fast delivery.,4.0,2025-08-20,Yes,Positive
CUST00187,40,New,Bluetooth Speaker,Electronics,Average quality. It is fine for the price.,4.0,2026-08-04,Yes,Neutral
CUST00188,41,Loyal,Gym Gloves,Sports,Good product and the delivery was quick. Order 4271. Really!!,4.0,2025-01-17,No,Positive
CUST00189,45,Loyal,Cookware Set,Home & Kitchen,Average quality. It is fine for the price.,3.0,2026-03-18,Yes,Neutral
CUST00190,19,Loyal,Smart Watch,Electronics,Average quality. It is fine for the price. Order 7511.,3.0,2026-07-15,Yes,Neutral
CUST00191,38,Loyal,Sneakers,Clothing,EXCELLENT PRODUCT! VERY GOOD QUALITY AND FAST DELIVERY.,5.0,2026-01-09,Yes,Positive
CUST00192,42,Loyal,Green Tea,Grocery,Not worth the money. The quality is very poor. Order 1521.,1.0,2025-05-04,Yes,Negative
CUST00193,47,Loyal,Jacket,Clothing,Very happy with my purchase. Highly recommended! Order 1685. Really!!,5.0,2026-05-12,Yes,Positive
CUST00194,40,Loyal,Self Help Book,Books,Good product and the delivery was quick.,4.0,2026-08-21,Yes,Positive
CUST00195,48,Loyal,Moisturizer,Beauty,Very happy with my purchase. Highly recommended! Order 4537. Really!!,4.0,2026-02-11,No,Positive
CUST00196,40,New,Cookbook,Books,The item arrived on time and was as described.,3.0,2025-04-18,Yes,Neutral
CUST00197,21,Loyal,Coffee Maker,Home & Kitchen,Average quality. It is fine for the price.,3.0,2026-05-06,Yes,Neutral
CUST00198,53,Returning,Running Shoes,Sports,The quality is acceptable for everyday use. Really!!,3.0,2026-08-25,No,Neutral
CUST00199,23,Loyal,Mixer Grinder,Home & Kitchen,Bad experience. I would not recommend this product. Order 4489.,1.0,2026-11-29,Yes,Negative
CUST00200,57,Loyal,Novel,Books,VERY HAPPY WITH MY PURCHASE. HIGHLY RECOMMENDED!,4.0,2025-07-21,Yes,Positive
CUST00201,20,New,Gym Gloves,Sports,Excellent product! Very good quality and fast delivery.,5.0,2026-11-29,Yes,Positive
CUST00202,36,New,Moisturizer,Beauty,The quality is acceptable for everyday use.,4.0,2025-07-30,Yes,Neutral
CUST00203,62,Returning,Cookware Set,Home & Kitchen,"The product is comfortable, useful, and well made.",5.0,2025-04-23,Yes,Positive
CUST00204,62,New,Face Wash,Beauty,Very happy with my purchase. Highly recommended! Order 9667.,5.0,2025-07-17,Yes,Positive
CUST00205,43,New,Coffee,Grocery,The item arrived on time and was as described.,3.0,2026-05-15,Yes,Neutral
CUST00206,62,Loyal,Novel,Books,Good product and the delivery was quick.,4.0,2026-03-02,No,Positive
CUST00207,22,Returning,Jeans,Clothing,Good product and the delivery was quick. Really!!,5.0,2025-09-17,Yes,Positive
CUST00208,61,New,Programming Book,Books,The item arrived late and the package was damaged.,2.0,2026-08-19,Yes,Negative
CUST00209,45,Returning,Cookies,Grocery,BAD EXPERIENCE. I WOULD NOT RECOMMEND THIS PRODUCT. REALLY!!,1.0,2026-02-04,Yes,Negative
CUST00210,35,Returning,Cookware Set,Home & Kitchen,Good product and the delivery was quick. Really!!,5.0,2026-03-17,Yes,Positive
CUST00211,41,Loyal,Coffee Maker,Home & Kitchen,AMAZING QUALITY AND VALUE FOR MONEY.,5.0,2025-07-18,Yes,Positive
CUST00212,43,New,Coffee Maker,Home & Kitchen,Bad experience. I would not recommend this product.,1.0,2025-11-01,Yes,Negative
CUST00213,59,New,Moisturizer,Beauty,Not worth the money. The quality is very poor. Really!!,1.0,2026-08-21,Yes,Negative
CUST00214,34,Returning,Cookbook,Books,GOOD PRODUCT AND THE DELIVERY WAS QUICK. ORDER 7171.,4.0,2026-05-09,Yes,Positive
CUST00215,56,Returning,Coffee Maker,Home & Kitchen,Good product and the delivery was quick. Order 4137. Really!!,4.0,2025-12-10,No,Positive
CUST00216,37,Returning,Dry Fruits,Grocery,Amazing quality and value for money. Really!!,4.0,2025-03-09,Yes,Positive
CUST00217,57,Returning,Gym Gloves,Sports,Good product and the delivery was quick. Really!!,4.0,2025-01-26,Yes,Positive
CUST00218,56,Loyal,Mixer Grinder,Home & Kitchen,The quality is acceptable for everyday use.,4.0,2026-01-14,Yes,Neutral
CUST00219,53,New,Face Wash,Beauty,The item arrived on time and was as described. Order 7411.,3.0,2025-03-13,No,Neutral
CUST00220,24,Loyal,Face Wash,Beauty,"The product is comfortable, useful, and well made. Really!!",5.0,2025-09-16,No,Positive
CUST00221,60,New,Hair Dryer,Beauty,"The product is comfortable, useful, and well made. Order 4200. Really!!",5.0,2026-01-01,Yes,Positive
CUST00222,38,Returning,Yoga Mat,Sports,Not worth the money. The quality is very poor.,1.0,2025-06-11,Yes,Negative
CUST00223,51,Returning,Smart Watch,Electronics,The item arrived late and the package was damaged. Order 9004.,2.0,2026-10-07,No,Negative
CUST00224,28,Returning,Moisturizer,Beauty,Excellent product! Very good quality and fast delivery.,4.0,2025-12-30,Yes,Positive
